Model_Tipi,Window,Vektör_Boyu,Yorum_Index,Benzerlik_Skoru,Yorum_Metni
cbow,2,100,2345,0.9989601,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
cbow,2,100,1459,0.99879545,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
cbow,2,100,1620,0.9984218,game absolut trash anti cheat like year yet develop still didnt anyth cheat problem everi day play dog sh meet atleast one russian cheater simpli dont care know dev care money sell skin case etc overal dont recomend unless cheat problem fix
cbow,2,100,1700,0.99829245,trash game overload cheater use global elit cs go upon time even silver smurf account peopl shoot wall smoke door never get flash etc etc yea want nerv spare mean play anoth shooter game tri make money player skin instead fix game valvesuck
cbow,2,100,2514,0.9977019,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,2,100,2345,0.99965626,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
skipgram,2,100,2514,0.9995634,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,2,100,1459,0.99947965,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
skipgram,2,100,1700,0.9983496,trash game overload cheater use global elit cs go upon time even silver smurf account peopl shoot wall smoke door never get flash etc etc yea want nerv spare mean play anoth shooter game tri make money player skin instead fix game valvesuck
skipgram,2,100,1153,0.99822897,mani cheater smurf new player valv faceit esea none care actual game care profit margin skin actual pathet much counter strike fallen actual trash game play nostalgia nostalgia seem face hacker forgot game use like good trash dev trash game gaben fat loser care would never recommend
cbow,4,100,2345,0.9995316,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
cbow,4,100,1459,0.9994186,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
cbow,4,100,1620,0.9990998,game absolut trash anti cheat like year yet develop still didnt anyth cheat problem everi day play dog sh meet atleast one russian cheater simpli dont care know dev care money sell skin case etc overal dont recomend unless cheat problem fix
cbow,4,100,2514,0.9990371,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
cbow,4,100,1700,0.99895453,trash game overload cheater use global elit cs go upon time even silver smurf account peopl shoot wall smoke door never get flash etc etc yea want nerv spare mean play anoth shooter game tri make money player skin instead fix game valvesuck
skipgram,4,100,2345,0.99924767,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
skipgram,4,100,1459,0.999038,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
skipgram,4,100,2514,0.9989245,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,4,100,1153,0.99884725,mani cheater smurf new player valv faceit esea none care actual game care profit margin skin actual pathet much counter strike fallen actual trash game play nostalgia nostalgia seem face hacker forgot game use like good trash dev trash game gaben fat loser care would never recommend
skipgram,4,100,1111,0.99818,dogshit game alway give trash bot teammat whilst enemi pro gamer imposs carri mental ill dog zero balanc rank
cbow,2,300,1459,0.9992888,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
cbow,2,300,1620,0.999206,game absolut trash anti cheat like year yet develop still didnt anyth cheat problem everi day play dog sh meet atleast one russian cheater simpli dont care know dev care money sell skin case etc overal dont recomend unless cheat problem fix
cbow,2,300,1700,0.99886525,trash game overload cheater use global elit cs go upon time even silver smurf account peopl shoot wall smoke door never get flash etc etc yea want nerv spare mean play anoth shooter game tri make money player skin instead fix game valvesuck
cbow,2,300,2345,0.9984121,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
cbow,2,300,1609,0.9973937,even wast preciou time ever dream experienc feel non stop play cheater game eu server differ type legit cheater want know exactli go youtub neverlos plagu fatal memesens inixium litter watch tutori closet cheater play hour includ cs go confirm game never infest cheater cours valv remov overwatch updat vac live still anyth would lose lot money sinc cheater indirectli particip case ecosystem use play week everi wednesday case drop even bother even mention trash optimis rx even get stabl fp drop ever lay eye smoke joke good job valv
skipgram,2,300,2345,0.99979055,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
skipgram,2,300,2514,0.99947226,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,2,300,1459,0.999183,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
skipgram,2,300,1620,0.9985774,game absolut trash anti cheat like year yet develop still didnt anyth cheat problem everi day play dog sh meet atleast one russian cheater simpli dont care know dev care money sell skin case etc overal dont recomend unless cheat problem fix
skipgram,2,300,1153,0.9985196,mani cheater smurf new player valv faceit esea none care actual game care profit margin skin actual pathet much counter strike fallen actual trash game play nostalgia nostalgia seem face hacker forgot game use like good trash dev trash game gaben fat loser care would never recommend
cbow,4,300,1459,0.99962485,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
cbow,4,300,2345,0.9993562,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
cbow,4,300,1620,0.9992364,game absolut trash anti cheat like year yet develop still didnt anyth cheat problem everi day play dog sh meet atleast one russian cheater simpli dont care know dev care money sell skin case etc overal dont recomend unless cheat problem fix
cbow,4,300,1700,0.9991746,trash game overload cheater use global elit cs go upon time even silver smurf account peopl shoot wall smoke door never get flash etc etc yea want nerv spare mean play anoth shooter game tri make money player skin instead fix game valvesuck
cbow,4,300,2514,0.99875045,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,4,300,2345,0.99970084,log hour trash talk game vastli improv time learn shoot straight team game hook like snort line run polic teach kid bad word
skipgram,4,300,2514,0.9994569,commun trash game got kick know map object two got vote kick sinc actual kill good amount peopl vote
skipgram,4,300,1459,0.9991815,play game keep get error vac unabl verifi game session tri verifi game file tri play full practic match look match noth never issu sourc believ trash valv make game
skipgram,4,300,1111,0.99887466,dogshit game alway give trash bot teammat whilst enemi pro gamer imposs carri mental ill dog zero balanc rank
skipgram,4,300,1153,0.9988233,mani cheater smurf new player valv faceit esea none care actual game care profit margin skin actual pathet much counter strike fallen actual trash game play nostalgia nostalgia seem face hacker forgot game use like good trash dev trash game gaben fat loser care would never recommend
